,Source User id,Following id
6630,107294039511495511,"[110264171096269105, 41635, 110141867641812043, 110128881170754187, 109259665523766410, 1099389, 109893062787703479, 109246199302415148, 109248440907909022, 151687, 108199005031226769, 488197, 108131870869530229, 109497128081274541, 559242, 109245459437280357, 109520908623936373, 109520872746952734, 109248945403729531, 108246762649303429, 109303507992208084, 109243997732147992, 109358933757640611, 109357251271383739, 109292929514346332, 109359084586809036, 518586, 1372518, 108282607750436432, 109259558568073734, 109258957929118983, 108218957822381990, 108194320752902753, 1]"
5547,659174,"[844625, 457265, 28255, 108220888800087924, 558437, 782304, 40242, 412906, 108195033451097683, 373459, 109949953389784749, 42049, 108167928546037698, 108057683453811700, 14823, 1066783, 109745649913145701, 471607, 109865025092396275, 542906, 109779836501209868, 109774708364652267, 410395, 108242981650878755, 383993, 109769143121573244, 1058387, 413998, 434035, 109745533359309047, 1066889, 546771, 109751654779621830, 109751658296620418, 423222, 108242297246719787, 109699219115886581, 109308712971916994, 480003, 542033]"
8362,110235944975201250,"[110295784232389195, 110010403070825240, 109995107436414920, 1113386, 108222122832047692, 108142603493060428, 106685844094702507, 110250025489751143, 110161533740562353, 110252961719489819, 108080505337722934, 110254015252303489, 110243909021004466, 109503311075600096, 110255436364153985, 1062110, 277857, 110254694074481668, 110205104211425011, 502504, 110251286101632344, 106688593420719709, 356194, 1051992, 1051636, 109307377502155341, 110271896455365105, 110272137002078736, 110269191610964893, 109864618837935479, 107294621314819924, 110270751817323255, 110270053639449419, 597145, 108286226095399534, 775147, 109361476205722086, 108359139292035130, 110243945381066247, 110236357305258223]"
1513,110123751729887880,"[107264619351317248, 107045435590001688, 110302396259186893, 110068921406778348, 110218391159673889, 110289846522208886, 109253488995587314, 109347644739107784, 109254191394757294, 110207577335400211, 1014154, 1158636, 110253203466045965, 110184099489263775, 581036, 1009457, 1056797, 945146, 1045954, 13606, 107214893922877961, 108140570179203152, 560321, 205205, 108220888800087924, 110249241130422007, 108196860480386554, 109990570781822226, 110209829082931293, 1085832, 108496823743334301, 106307993739889465, 1049957, 110196470686101004, 110202213071068315, 109832326669040384, 110248506661089709, 1086482, 109834297620106533, 110206749650288161]"
39,108223164730156358,"[109243336194691099, 849138, 109512950566048762, 107868213031688994, 1169213, 1060532, 109990220534185629, 110310670994186234, 829408, 317042, 108238563586200111, 110298803849281547, 109769419077235625, 110310369886097895, 109258894504391015, 110106815724718153, 110299141683688504, 110309673920871321, 109360993754051578, 110307143059048948, 110309146555312621, 110019995551250962, 110308759587962785, 110308578430551334, 110307900990111881, 110166353596691675, 110308171665179073, 110308089351182703, 110308005111224009, 110306472901751261, 110307746798553310, 110307494611894638, 110307496633920380, 110307346967241923, 675551, 110243405974055370, 110306973082505237, 110196928502283428, 110306735416576507, 110306687369267569]"
4819,1133225,"[107938216849018465, 844625, 110302080865575107, 110304816546621035, 110304598816168578, 110298928352330854, 110299570727926213, 110300091364270075, 110115618630548847, 109247049725258874, 109328074638035706, 109337027745030988, 1168937, 33595, 110286364313887383, 849421, 110232294915520899, 110287589668621799, 1012178, 1007121, 110283875479625532, 110279653216106338, 110280027641385876, 110280654428478548, 110280828945243347, 110197485503516292, 109311815634069832, 108199305956469956, 110276405568845441, 110272644164233510, 110267570336069651, 110268446710933357, 110270065067949114, 110267031132955606, 110258447038092037, 110266445947417897, 110241962047276074, 108231050193818153, 110243442042764110, 110244259610382992]"
3465,109251428687235255,"[26316, 1035749, 108194428751240116, 109226747306158691, 109313784465905202, 109283755964491217, 109349943905199061, 108220888800087924, 109521263453982659, 110083800801809684, 109348476933846346, 109983416667771868, 26524, 109382351245389711, 1102795, 109833806992250531, 109666380242165940, 109809852558606931, 109336851987706232, 109251825256181280, 109406348838985653, 109751056288685263, 109343062705980991, 109630807979432522, 1147348, 188009, 1092387, 109326662251475757, 457739, 235237, 596933, 109291693718306724, 109288638289806002, 109221881483601732, 109344383189994929, 109430445422027919, 108084737883839316, 109287072534106563, 109395079290212348, 109390969127442952]"
1760,110187794965824403,"[108193385994125194, 1051374, 677099, 109332186138218078, 109203796694396501, 109379295997507770, 109246530404595912, 109312161205291252, 110179198983278965, 108194103691101006, 109256248680647804, 110078069643891731, 107808604675348688, 109910829681488841, 108130634295448234, 109316207596343686, 109259670891707366, 109246553984158620, 423222, 108220888800087924, 108196785650461321, 15841, 109251088201008636, 109256943034549488, 109506033376161197, 108179479779153041, 107893772122947593, 109252782822761703, 481112, 108783647036740585, 1185988, 109354747770017113, 206178, 109115378365156110, 589143, 108153660646899723, 109297280241538513, 312042, 545190, 109304543307372303]"
2304,108356827175103070,"[110310592630516494, 110301705291761755, 110309673920871321, 110309723659707578, 110307900990111881, 110307746798553310, 110307496633920380, 110307346967241923, 110277404678256959, 110306151333248957, 110305566659569246, 110305485235292854, 110304816546621035, 110304532104273450, 110304394508818414, 110303332778342579, 110299622008419603, 110302871003789591, 110302080865575107, 110301654178877700, 110301366937765675, 110301294644917523, 110300710641223932, 110301060029504006, 110300337844467741, 110300219475721541, 110255215209599708, 110300091364270075, 110299534697335486, 110299266897601759, 839098, 543585, 1060897, 110298697277194094, 110298646771181598, 110297768161124418, 110295832505253514, 110295369900571195, 110295337273555211, 110294921348690521]"
3723,110248847411412627,"[109951271711596479, 109411424545066884, 110176856854428746, 110133750942134741, 110121350736179958, 109953737523693259, 110052256836506576, 110050005617791004, 109977788855145932, 109869992317109954, 109946078670237989, 109627787276099209, 109626218115383751, 109543433442046434, 109647545129097452, 109359442830516641, 109552655076311135, 1050070, 109798487567531506, 109385012716596071, 109848217179203604, 109876415362184434, 109294099674153304, 109944024214830458, 109932051064339263, 109942556104894132, 109872560299460148, 109872604724693091, 109865785761046199, 109854485142048090, 109844264076544642, 109841033660688728, 109840183676232134, 109837592503131561, 109836797527169643, 109824850164971498, 109740106442598113, 109717416171742333, 109709451622913231, 109707628612776283]"
